日期,历史价格,回归价格
2021-07-07,1.79,1.7977765
2021-07-08,1.81,1.8029814
2021-07-09,1.81,1.821772
2021-07-12,1.81,1.8344946
2021-07-13,1.86,1.8325592
2021-07-14,2.05,1.8630481
2021-07-15,1.97,2.0013158
2021-07-16,1.9,2.0370061
2021-07-19,1.93,2.0104213
2021-07-20,1.91,2.001658
2021-07-21,1.89,1.9788542
2021-07-22,1.91,1.9511528
2021-07-23,1.95,1.9436561
2021-07-26,1.96,1.960772
2021-07-27,1.89,1.9764905
2021-07-28,1.84,1.9488801
2021-07-29,1.86,1.9034952
2021-07-30,1.92,1.8867939
2021-08-02,1.98,1.9123752
2021-08-03,1.97,1.9610814
2021-08-04,2.0,1.9747195
2021-08-05,2.01,1.9969199
2021-08-06,2.01,2.0215442
2021-08-09,2.08,2.0388896
2021-08-10,2.17,2.0898879
2021-08-11,2.19,2.170593
2021-08-12,2.18,2.2289174
2021-08-13,2.27,2.2551498
2021-08-16,2.21,2.3086479
2021-08-17,2.15,2.3127878
2021-08-18,2.17,2.286232
2021-08-19,2.17,2.2767766
2021-08-20,2.18,2.2683244
2021-08-23,2.31,2.264034
2021-08-24,2.3,2.3238115
2021-08-25,2.26,2.353923
2021-08-26,2.23,2.3500772
2021-08-27,2.2,2.330077
2021-08-30,2.21,2.297842
2021-08-31,2.14,2.2747178
2021-09-01,2.16,2.2230358
2021-09-02,2.17,2.199992
2021-09-03,2.16,2.185627
2021-09-06,2.14,2.1749258
2021-09-07,2.16,2.1668925
2021-09-08,2.25,2.177052
2021-09-09,2.23,2.23475
2021-09-10,2.18,2.263784
2021-09-13,2.19,2.2468185
2021-09-14,2.12,2.232592
2021-09-15,2.17,2.1896975
2021-09-16,2.2,2.1889684
2021-09-17,2.16,2.209199
2021-09-22,2.1,2.204887
2021-09-23,2.16,2.177419
2021-09-24,2.07,2.1915092
2021-09-27,1.93,2.1572447
2021-09-28,1.96,2.0702288
2021-09-29,1.92,2.031673
2021-09-30,1.92,1.9900154
2021-10-08,1.98,1.960736
2021-10-11,1.98,1.9745198
2021-10-12,1.94,1.9851445
2021-10-13,1.94,1.9733729
2021-10-14,1.95,1.9694717
2021-10-15,1.91,1.9709347
2021-10-18,1.95,1.9482418
2021-10-19,1.96,1.9561943
2021-10-20,1.94,1.9694028
2021-10-21,1.91,1.9625129
2021-10-22,1.87,1.9435033
2021-10-25,1.85,1.9206284
2021-10-26,1.85,1.8968638
2021-10-27,1.79,1.885918
2021-10-28,1.77,1.8500822
2021-10-29,1.83,1.8071086
2021-11-01,1.85,1.8146161
2021-11-02,1.82,1.8345358
2021-11-03,1.82,1.8324347
