日期,历史价格,回归价格
2021-07-07,7.68,7.638516
2021-07-08,7.54,7.685317
2021-07-09,7.62,7.667094
2021-07-12,7.77,7.7005935
2021-07-13,7.82,7.789451
2021-07-14,7.85,7.864728
2021-07-15,7.73,7.9297743
2021-07-16,7.71,7.9150343
2021-07-19,7.59,7.900678
2021-07-20,7.56,7.8462024
2021-07-21,7.61,7.801855
2021-07-22,7.57,7.802752
2021-07-23,7.36,7.794435
2021-07-26,7.17,7.6919074
2021-07-27,7.24,7.5308237
2021-07-28,6.99,7.462103
2021-07-29,7.71,7.3137836
2021-07-30,8.5,7.581039
2021-08-02,9.29,8.10743
2021-08-03,10.24,8.770581
2021-08-04,10.34,9.546424
2021-08-05,11.39,10.030937
2021-08-06,11.39,10.718982
2021-08-09,10.65,11.10388
2021-08-10,11.23,11.034921
2021-08-11,12.37,11.196767
2021-08-12,12.5,11.69234
2021-08-13,13.11,12.009072
2021-08-16,12.34,12.405237
2021-08-17,12.44,12.353533
2021-08-18,12.57,12.362687
2021-08-19,12.62,12.394498
2021-08-20,12.54,12.41186
2021-08-23,12.59,12.37525
2021-08-24,12.23,12.349486
2021-08-25,12.25,12.1872635
2021-08-26,11.59,12.074895
2021-08-27,11.44,11.756433
2021-08-30,11.28,11.514952
2021-08-31,11.26,11.294855
2021-09-01,11.5,11.120354
2021-09-02,11.4,11.082719
2021-09-03,10.82,10.994624
2021-09-06,11.75,10.739656
2021-09-07,11.65,10.956576
2021-09-08,11.26,11.056011
2021-09-09,10.99,10.99273
2021-09-10,10.52,10.869824
2021-09-13,10.65,10.639473
2021-09-14,10.27,10.560581
2021-09-15,10.64,10.379187
2021-09-16,10.5,10.425248
2021-09-17,10.71,10.406732
2021-09-22,10.03,10.484054
2021-09-23,10.06,10.283795
2021-09-24,9.54,10.174822
2021-09-27,9.27,9.910634
2021-09-28,9.32,9.652794
2021-09-29,8.96,9.495407
2021-09-30,9.29,9.254682
2021-10-08,9.16,9.241574
2021-10-11,9.4,9.184126
2021-10-12,8.92,9.258866
2021-10-13,9.19,9.120435
2021-10-14,9.38,9.154837
2021-10-15,9.31,9.246572
2021-10-18,9.38,9.271097
2021-10-19,9.26,9.304108
2021-10-20,9.44,9.281336
2021-10-21,9.34,9.342888
2021-10-22,9.64,9.34419
2021-10-25,10.02,9.474918
2021-10-26,11.04,9.715671
2021-10-27,12.15,10.265295
2021-10-28,13.39,11.009962
2021-10-29,12.59,11.921194
2021-11-01,12.59,12.1679735
2021-11-02,11.75,12.327438
2021-11-03,11.66,12.109445
2021-11-04,12.84,11.938935
2021-11-05,11.54,12.266618
2021-11-08,11.35,11.974109
2021-11-09,11.65,11.725739
2021-11-10,12.84,11.668473
2021-11-11,12.12,12.060908
2021-11-12,12.29,12.024717
2021-11-15,11.95,12.062991
2021-11-16,11.69,11.949271
2021-11-17,11.74,11.77985
2021-11-18,11.21,11.675757
2021-11-19,11.19,11.420508
2021-11-22,12.32,11.260987
2021-11-23,12.35,11.601483
2021-11-24,12.26,11.80898
2021-11-25,11.74,11.894974
2021-11-26,12.93,11.777324
2021-11-29,13.15,12.173683
2021-11-30,13.05,12.481724
2021-12-01,13.0,12.623762
2021-12-02,13.36,12.703239
2021-12-03,12.75,12.893128
2021-12-06,12.34,12.800559
2021-12-07,11.34,12.611026
2021-12-08,11.49,12.143081
