日期,历史价格,回归价格
2021-07-07,7.63,7.580071
2021-07-08,7.94,7.5471625
2021-07-09,7.81,7.5620513
2021-07-12,8.06,7.5701227
2021-07-13,8.07,7.593215
2021-07-14,7.81,7.613614
2021-07-15,7.63,7.629628
2021-07-16,7.53,7.6456013
2021-07-19,7.63,7.6497893
2021-07-20,7.74,7.67086
2021-07-21,7.92,7.6785464
2021-07-22,8.19,7.723153
2021-07-23,8.04,7.824438
2021-07-26,7.94,7.8902106
2021-07-27,8.05,7.9220533
2021-07-28,7.55,7.9599905
2021-07-29,8.37,7.9104958
2021-07-30,8.55,7.9301515
2021-08-02,8.45,7.9579334
2021-08-03,8.12,7.975909
2021-08-04,8.47,7.9801936
2021-08-05,8.37,8.028702
2021-08-06,8.77,8.080744
2021-08-09,8.33,8.164798
2021-08-10,8.52,8.201052
2021-08-11,8.87,8.232666
2021-08-12,8.98,8.27274
2021-08-13,8.78,8.320831
2021-08-16,8.65,8.357983
2021-08-17,8.1,8.384176
2021-08-18,8.13,8.388824
2021-08-19,8.12,8.362329
2021-08-20,8.11,8.313393
2021-08-23,8.37,8.262391
2021-08-24,8.54,8.259669
2021-08-25,8.77,8.272085
2021-08-26,9.19,8.314543
2021-08-27,8.76,8.380671
2021-08-30,8.6,8.4252
2021-08-31,8.25,8.44512
2021-09-01,8.14,8.406613
2021-09-02,7.92,8.336787
2021-09-03,8.05,8.254433
2021-09-06,8.12,8.193906
2021-09-07,8.17,8.183688
2021-09-08,8.34,8.20234
2021-09-09,7.84,8.246692
2021-09-10,7.93,8.247553
2021-09-13,7.63,8.226659
2021-09-14,7.47,8.1564865
2021-09-15,7.53,8.046532
2021-09-16,7.3,7.898872
2021-09-17,7.31,7.741743
2021-09-22,7.31,7.604086
2021-09-23,7.45,7.498636
2021-09-24,7.22,7.4484105
2021-09-27,6.94,7.4109383
2021-09-28,7.02,7.350026
2021-09-29,6.86,7.2853394
2021-09-30,7.0,7.2024727
2021-10-08,7.15,7.1191974
2021-10-11,7.18,7.079874
2021-10-12,7.07,7.0504484
2021-10-13,7.16,7.0308
2021-10-14,7.14,7.0433974
2021-10-15,7.15,7.0544147
2021-10-18,7.09,7.084074
2021-10-19,7.1,7.1027093
2021-10-20,7.23,7.113188
2021-10-21,6.76,7.1218038
2021-10-22,6.65,7.0821433
2021-10-25,6.73,7.033858
2021-10-26,6.67,6.9906473
2021-10-27,6.47,6.9542074
2021-10-28,6.31,6.8829627
2021-10-29,6.58,6.758413
2021-11-01,6.72,6.672282
2021-11-02,6.7,6.6263523
2021-11-03,6.72,6.5879397
2021-11-04,6.8,6.559149
2021-11-05,6.89,6.5502424
2021-11-08,6.89,6.569749
2021-11-09,7.04,6.590394
2021-11-10,7.1,6.6204615
2021-11-11,7.17,6.7069187
2021-11-12,7.33,6.8353224
2021-11-15,7.42,6.982685
2021-11-16,7.26,7.133585
2021-11-17,7.49,7.2698545
2021-11-18,7.35,7.438213
2021-11-19,7.42,7.548819
2021-11-22,7.55,7.6256633
2021-11-23,7.78,7.6934342
2021-11-24,7.65,7.766342
2021-11-25,7.61,7.7956543
2021-11-26,7.46,7.7964807
2021-11-29,7.51,7.7645164
2021-11-30,7.53,7.7215858
2021-12-01,7.71,7.680241
2021-12-02,7.51,7.6605296
2021-12-03,7.53,7.609163
2021-12-06,7.3,7.553944
2021-12-07,7.13,7.491712
2021-12-08,7.4,7.39721
2021-12-09,7.33,7.354656
2021-12-10,7.23,7.3168964
2021-12-13,7.26,7.267217
2021-12-14,7.41,7.198905
2021-12-15,7.44,7.166846
2021-12-16,7.68,7.1583886
2021-12-17,7.57,7.215119
2021-12-20,7.45,7.267892
2021-12-21,7.65,7.300679
2021-12-22,7.72,7.3351793
2021-12-23,7.57,7.3894577
2021-12-24,7.41,7.4235964
2021-12-27,7.36,7.4500785
2021-12-28,7.71,7.4835963
2021-12-29,7.59,7.5476866
2021-12-30,7.97,7.585235
2021-12-31,7.87,7.6691923
2022-01-04,7.97,7.7296963
2022-01-05,7.76,7.7783546
2022-01-06,8.06,7.78884
2022-01-07,7.69,7.8042154
2022-01-10,7.78,7.778398
2022-01-11,7.78,7.7630816
2022-01-12,7.94,7.7414536
