日期,历史价格,回归价格
2022-04-20,8.54,9.52811
2022-04-21,8.35,9.343339
2022-04-22,8.22,9.163821
2022-04-25,7.95,8.9957
2022-04-26,7.98,8.837049
2022-04-27,8.03,8.697704
2022-04-28,8.34,8.578973
2022-04-29,8.46,8.495927
2022-05-03,8.31,8.451714
2022-05-04,8.0,8.424143
2022-05-05,8.11,8.401864
2022-05-06,7.8,8.399699
2022-05-10,7.85,8.381178
2022-05-11,8.27,8.34163
2022-05-12,8.63,8.3237505
2022-05-13,9.85,8.334416
2022-05-16,10.36,8.428348
2022-05-17,9.84,8.587147
2022-05-18,9.75,8.7618265
2022-05-19,9.55,8.938746
2022-05-20,9.83,9.096764
2022-05-23,9.82,9.24726
2022-05-24,9.56,9.374504
2022-05-25,9.79,9.47447
2022-05-26,9.31,9.570757
2022-05-27,9.37,9.629387
2022-05-30,9.27,9.675508
2022-05-31,9.37,9.700426
2022-06-01,9.25,9.709573
2022-06-02,8.91,9.695295
2022-06-06,8.99,9.621183
2022-06-07,9.17,9.504838
2022-06-08,9.22,9.3931
2022-06-09,9.34,9.29478
2022-06-10,9.48,9.224414
2022-06-13,9.26,9.175218
2022-06-14,9.46,9.125981
2022-06-15,9.55,9.105157
2022-06-16,9.45,9.092761
2022-06-17,9.69,9.099412
2022-06-20,9.49,9.130659
2022-06-21,9.84,9.160487
2022-06-22,9.72,9.207228
2022-06-23,9.34,9.252932
2022-06-24,9.3,9.291444
2022-06-27,9.58,9.312884
2022-06-28,9.41,9.330359
2022-06-29,8.68,9.327649
2022-06-30,8.6,9.272913
2022-07-04,8.78,9.185672
2022-07-05,8.96,9.098038
2022-07-06,9.46,9.015653
2022-07-07,9.54,8.969186
2022-07-08,9.85,8.950316
2022-07-11,10.06,8.967247
2022-07-12,9.67,9.021823
2022-07-13,9.76,9.067912
2022-07-14,9.96,9.119745
2022-07-15,9.43,9.1899395
2022-07-18,9.34,9.242243
2022-07-19,9.21,9.267697
2022-07-20,9.28,9.273237
2022-07-21,9.2,9.287751
2022-07-22,9.0,9.298988
2022-07-25,8.77,9.290224
2022-07-26,8.85,9.253373
2022-07-27,8.68,9.189677
2022-07-28,8.66,9.099708
2022-07-29,8.3,8.984687
2022-08-01,8.23,8.842243
2022-08-02,8.02,8.6947975
2022-08-03,8.14,8.546782
2022-08-04,8.45,8.404557
2022-08-05,8.69,8.30755
2022-08-08,8.57,8.265107
2022-08-09,8.51,8.251325
2022-08-10,8.29,8.250606
2022-08-11,8.44,8.24717
2022-08-12,8.59,8.256225
2022-08-15,8.25,8.285966
2022-08-16,8.33,8.297014
2022-08-17,8.15,8.307775
2022-08-18,8.45,8.305038
2022-08-19,8.03,8.320106
2022-08-22,8.1,8.316626
2022-08-23,7.96,8.312955
2022-08-24,7.78,8.291634
2022-08-25,8.06,8.239815
2022-08-26,8.06,8.178274
2022-08-29,7.93,8.115419
2022-08-30,7.88,8.050521
2022-08-31,7.86,7.9947405
2022-09-01,8.31,7.9434175
2022-09-02,8.54,7.921227
2022-09-05,8.15,7.9392405
2022-09-06,7.88,7.95275
2022-09-07,7.93,7.9557533
2022-09-08,7.84,7.9445643
2022-09-09,7.92,7.9305005
2022-09-13,7.86,7.916731
2022-09-14,7.63,7.9007144
2022-09-15,7.77,7.8793726
2022-09-16,7.62,7.85159
2022-09-19,7.3,7.811489
2022-09-20,7.29,7.752613
2022-09-21,7.07,7.6858373
2022-09-22,6.9,7.6139464
2022-09-23,6.72,7.5089993
2022-09-26,6.86,7.3745193
2022-09-27,7.01,7.245912
2022-09-28,6.72,7.147491
2022-09-29,6.76,7.0568275
2022-09-30,6.81,6.984484
2022-10-03,6.8,6.924469
2022-10-05,7.1,6.8774366
2022-10-06,6.93,6.8672132
2022-10-07,6.72,6.860404
2022-10-10,6.7,6.84999
2022-10-11,7.16,6.8473997
2022-10-12,7.16,6.8796535
2022-10-13,7.35,6.9302344
2022-10-14,7.92,7.0057735
2022-10-17,8.61,7.1308637
2022-10-18,9.13,7.3053074
2022-10-19,8.82,7.518749
2022-10-20,9.52,7.7392836
2022-10-21,9.22,7.992554
2022-10-24,8.28,8.232046
2022-10-25,8.11,8.408846
2022-10-26,8.78,8.530308
2022-10-27,8.78,8.639329
2022-10-28,8.49,8.731618
2022-10-31,8.72,8.7985525
2022-11-01,9.45,8.853572
2022-11-02,11.02,8.928993
2022-11-03,10.52,9.069594
2022-11-04,11.06,9.217189
2022-11-07,11.18,9.392085
2022-11-08,11.34,9.579358
2022-11-09,11.62,9.785283
2022-11-10,12.34,9.9974
2022-11-11,10.92,10.239378
2022-11-14,12.04,10.441954
2022-11-15,12.04,10.657406
2022-11-16,11.52,10.854845
2022-11-17,11.52,11.014551
2022-11-18,12.04,11.149509
2022-11-21,12.0,11.278253
2022-11-22,11.02,11.386174
2022-11-23,10.92,11.422543
2022-11-24,11.14,11.420346
