epoch;loss;mape;val_loss;val_mape
0;4.098361968994141;101372.046875;4.061130046844482;47.81621551513672
1;4.049189567565918;67008.0859375;4.028770446777344;50.099666595458984
2;4.01613187789917;295649.3125;3.994755268096924;48.38325119018555
3;3.9821949005126953;249822.6875;3.962350368499756;48.63957214355469
4;3.946627616882324;242639.0;3.9321117401123047;53.9825553894043
5;3.9135093688964844;146220.0;3.9000208377838135;55.96482467651367
6;3.879626512527466;76774.53125;3.870779037475586;62.477596282958984
7;3.846611499786377;133803.859375;3.8407344818115234;67.02861022949219
8;3.8135063648223877;70844.0546875;3.805985927581787;64.01876831054688
9;3.7801454067230225;99758.09375;3.7701516151428223;58.57695388793945
10;3.7473580837249756;156652.796875;3.734208345413208;52.17160415649414
11;3.714440107345581;96019.0859375;3.701972484588623;52.43153381347656
12;3.6819651126861572;72870.2734375;3.671738862991333;56.251373291015625
13;3.6496124267578125;26863.525390625;3.6390914916992188;55.30265808105469
14;3.6175928115844727;153980.1875;3.6046693325042725;50.4089469909668
15;3.585469961166382;115971.953125;3.572725772857666;49.724143981933594
16;3.553727149963379;162719.984375;3.5415964126586914;50.15384292602539
17;3.52240252494812;167577.796875;3.5106453895568848;50.5841178894043
18;3.4908249378204346;128974.40625;3.4789514541625977;49.34116744995117
19;3.4597690105438232;104524.0390625;3.4470345973968506;46.916812896728516
20;3.4290549755096436;129360.5625;3.415839672088623;45.541080474853516
21;3.3983914852142334;122499.6171875;3.385117769241333;44.7702751159668
22;3.3680198192596436;90161.1640625;3.3558602333068848;46.64533996582031
23;3.3383724689483643;55629.4609375;3.3248867988586426;44.1507682800293
24;3.3083996772766113;29968.66796875;3.295058488845825;43.678443908691406
25;3.278473138809204;117552.375;3.262763261795044;36.57173156738281
26;3.2491626739501953;51923.390625;3.2352497577667236;40.98814010620117
27;3.220076084136963;97495.953125;3.2077882289886475;44.534088134765625
28;3.1909193992614746;103856.7734375;3.176755905151367;39.01493835449219
29;3.162168025970459;55162.4296875;3.145956516265869;32.58869171142578
30;3.133618116378784;88966.140625;3.118779420852661;35.77696228027344
31;3.105417251586914;27529.103515625;3.092688798904419;40.92231750488281
32;3.0773425102233887;101023.859375;3.0620782375335693;33.53695297241211
33;3.0493862628936768;72353.921875;3.034755229949951;34.43836975097656
